session_num,tr_loss_ave,tr_loss_std,tr_mse_ave,tr_mse_std,tr_mae_ave,tr_mae_std,tr_rmse_ave,tr_rmse_std,val_loss_ave,val_loss_std,val_mse_ave,val_mse_std,val_mae_ave,val_mae_std,val_rmse_ave,val_rmse_std,fc_units,lstm_units,epochs,fc_depth,lstm_depth,lr,tr_loss_fold_0,tr_mse_fold_0,tr_mae_fold_0,tr_rmse_fold_0,val_loss_fold_0,val_mse_fold_0,val_mae_fold_0,val_rmse_fold_0,
1,0,0,0,0,0,0,0,0,0.4981443949721076,0,0.4981443949721076,0,0.479058103127913,0,0.7020738179033453,0,120,20,0,2,1,0.0010000000474974513,0,0,0,0,0.4981443949721076,0.4981443949721076,0.479058103127913,0.7020738179033453,
1,0.49542969871651044,0,0.4954296960072084,0,0.48282877152616327,0,0.6760797798633575,0,0.318565544756976,0,0.31855780292641034,0,0.4770710685036399,0,0.5609930238940499,0,120,20,1,2,1,0.0010000000474974513,0.49542969871651044,0.4954296960072084,0.48282877152616327,0.6760797798633575,0.318565544756976,0.31855780292641034,0.4770710685036399,0.5609930238940499,
1,0.29684351113709534,0,0.2968435138463974,0,0.38272346420721576,0,0.5127451365644281,0,0.28365566344423726,0,0.28364682637832384,0,0.44642683457244525,0,0.5119634094563398,0,120,20,2,2,1,0.0010000000474974513,0.29684351113709534,0.2968435138463974,0.38272346420721576,0.5127451365644281,0.28365566344423726,0.28364682637832384,0.44642683457244525,0.5119634094563398,
1,0.20400574532422153,0,0.204005741937594,0,0.2903063026341525,0,0.42221698435870086,0,0.17882442101836205,0,0.17880774661898613,0,0.31104314801367844,0,0.41809752312573517,0,120,20,3,2,1,0.0010000000474974513,0.20400574532422153,0.204005741937594,0.2903063026341525,0.42221698435870086,0.17882442101836205,0.17880774661898613,0.31104314801367844,0.41809752312573517,
1,0.13498510962182825,0,0.13498510894450275,0,0.24760213629765945,0,0.35501381754875183,0,0.19248942590572618,0,0.19248024069450118,0,0.29678620533509686,0,0.42794762416319415,0,120,20,4,2,1,0.0010000000474974513,0.13498510962182825,0.13498510894450275,0.24760213629765945,0.35501381754875183,0.19248942590572618,0.19248024069450118,0.29678620533509686,0.42794762416319415,
1,0.10317157683047382,0,0.1031715754758228,0,0.2222418256781318,0,0.31459356438029895,0,0.23650093308903955,0,0.23649354075843637,0,0.31669203598390927,0,0.4567529261112213,0,120,20,5,2,1,0.0010000000474974513,0.10317157683047382,0.1031715754758228,0.2222418256781318,0.31459356438029895,0.23650093308903955,0.23649354075843637,0.31669203598390927,0.4567529261112213,
1,0.08542754873633385,0,0.08542754873633385,0,0.20346791364929892,0,0.28828541934490204,0,0.19841202958063645,0,0.19839901426299053,0,0.29996598782864486,0,0.43487090278755536,0,120,20,6,2,1,0.0010000000474974513,0.08542754873633385,0.08542754873633385,0.20346791364929892,0.28828541934490204,0.19841202958063645,0.19839901426299053,0.29996598782864486,0.43487090278755536,
1,0.07419888065619902,0,0.07419887997887352,0,0.1893311007456346,0,0.2694888006557118,0,0.1908840537071228,0,0.19097023050893436,0,0.28249505297704175,0,0.42991894348101184,0,120,20,7,2,1,0.0010000000474974513,0.07419888065619902,0.07419887997887352,0.1893311007456346,0.2694888006557118,0.1908840537071228,0.19097023050893436,0.28249505297704175,0.42991894348101184,
1,0.06874114816839044,0,0.06874114749106494,0,0.18096618083390323,0,0.2591935789043253,0,0.1779191302643581,0,0.17791120132262056,0,0.26821141080422833,0,0.4135930829427459,0,120,20,8,2,1,0.0010000000474974513,0.06874114816839044,0.06874114749106494,0.18096618083390323,0.2591935789043253,0.1779191302643581,0.17791120132262056,0.26821141080422833,0.4135930829427459,
1,0.063821019096808,0,0.06382101977413351,0,0.17239297926425934,0,0.25018816509030084,0,0.18419952995397829,0,0.18419671871445395,0,0.2676189365712079,0,0.420695153827017,0,120,20,9,2,1,0.0010000000474974513,0.063821019096808,0.06382101977413351,0.17239297926425934,0.25018816509030084,0.18419952995397829,0.18419671871445395,0.2676189365712079,0.420695153827017,
1,0.06039838865399361,0,0.06039838966998187,0,0.167446182532744,0,0.24354638294740158,0,0.17955963059582494,0,0.1795577657493678,0,0.25702422789551993,0,0.41500579701228574,0,120,20,10,2,1,0.0010000000474974513,0.06039838865399361,0.06039838966998187,0.167446182532744,0.24354638294740158,0.17955963059582494,0.1795577657493678,0.25702422789551993,0.41500579701228574,
1,0.05697780102491379,0,0.056977801363576545,0,0.16068809547207571,0,0.23677074096419595,0,0.18891742165115746,0,0.18891526199877262,0,0.26086225496097043,0,0.42577141387896106,0,120,20,11,2,1,0.0010000000474974513,0.05697780102491379,0.056977801363576545,0.16068809547207571,0.23677074096419595,0.18891742165115746,0.18891526199877262,0.26086225496097043,0.42577141387896106,
1,0.05409757928414778,0,0.05409757860682227,0,0.15582664446397262,0,0.23075147650458597,0,0.2806700271638957,0,0.28071982819925656,0,0.33951443941755727,0,0.5054428536783565,0,120,20,12,2,1,0.0010000000474974513,0.05409757928414778,0.05409757860682227,0.15582664446397262,0.23075147650458597,0.2806700271638957,0.28071982819925656,0.33951443941755727,0.5054428536783565,
1,0.0513159456578168,0,0.05131594599647955,0,0.15014290674166245,0,0.22444504093040119,0,0.2748766839504242,0,0.27487887238914316,0,0.33591625704006717,0,0.49861209094524384,0,120,20,13,2,1,0.0010000000474974513,0.0513159456578168,0.05131594599647955,0.15014290674166245,0.22444504093040119,0.2748766839504242,0.27487887238914316,0.33591625704006717,0.49861209094524384,
1,0.049654131585901436,0,0.049654131924564186,0,0.14646293900229715,0,0.2209437367590991,0,0.2863341390409253,0,0.28633648580448195,0,0.33463707769458945,0,0.5090059990232642,0,120,20,14,2,1,0.0010000000474974513,0.049654131585901436,0.049654131924564186,0.14646293900229715,0.2209437367590991,0.2863341390409253,0.28633648580448195,0.33463707769458945,0.5090059990232642,
1,0.04788126593286341,0,0.04788126593286341,0,0.14272274212403732,0,0.21702364087104797,0,0.2621962394226681,0,0.26219606128605927,0,0.3162565803663297,0,0.48857677524740045,0,120,20,15,2,1,0.0010000000474974513,0.04788126593286341,0.04788126593286341,0.14272274212403732,0.21702364087104797,0.2621962394226681,0.26219606128605927,0.3162565803663297,0.48857677524740045,
1,0.04649867015806111,0,0.046498669480735604,0,0.13988223671913147,0,0.2137838141484694,0,0.3041135848245837,0,0.3041332690891894,0,0.3358794376254082,0,0.5263952992179177,0,120,20,16,2,1,0.0010000000474974513,0.04649867015806111,0.046498669480735604,0.13988223671913147,0.2137838141484694,0.3041135848245837,0.3041332690891894,0.3358794376254082,0.5263952992179177,
1,0.04487805779684673,0,0.04487805745818398,0,0.13650431551716544,0,0.21010896021669562,0,0.25209853205491195,0,0.2520976469598033,0,0.3073706427081065,0,0.48055190389806574,0,120,20,17,2,1,0.0010000000474974513,0.04487805779684673,0.04487805745818398,0.13650431551716544,0.21010896021669562,0.25209853205491195,0.2520976469598033,0.3073706427081065,0.48055190389806574,
1,0.04392306946895339,0,0.04392306946895339,0,0.1337224075740034,0,0.20777985182675449,0,0.26135672408748756,0,0.2613563901660117,0,0.3132695271210237,0,0.48794690519571304,0,120,20,18,2,1,0.0010000000474974513,0.04392306946895339,0.04392306946895339,0.1337224075740034,0.20777985182675449,0.26135672408748756,0.2613563901660117,0.3132695271210237,0.48794690519571304,
