session_num,tr_loss_ave,tr_loss_std,tr_mse_ave,tr_mse_std,tr_mae_ave,tr_mae_std,tr_rmse_ave,tr_rmse_std,val_loss_ave,val_loss_std,val_mse_ave,val_mse_std,val_mae_ave,val_mae_std,val_rmse_ave,val_rmse_std,fc_units,lstm_units,epochs,fc_depth,lstm_depth,lr,tr_loss_fold_0,tr_mse_fold_0,tr_mae_fold_0,tr_rmse_fold_0
1,0.480536393,0,0.48053639,0,0.476647787,0,0.661942941,0,0,0,0,0,0,0,0,0,120,20,1,2,1,0.001,0.480536393,0.48053639,0.476647787,0.661942941
1,0.268179917,0,0.268179916,0,0.362521152,0,0.489714965,0,0,0,0,0,0,0,0,0,120,20,2,2,1,0.001,0.268179917,0.268179916,0.362521152,0.489714965
1,0.173622877,0,0.173622878,0,0.272492429,0,0.395013042,0,0,0,0,0,0,0,0,0,120,20,3,2,1,0.001,0.173622877,0.173622878,0.272492429,0.395013042
1,0.116061601,0,0.116061599,0,0.236182172,0,0.332746709,0,0,0,0,0,0,0,0,0,120,20,4,2,1,0.001,0.116061601,0.116061599,0.236182172,0.332746709
1,0.091528432,0,0.091528431,0,0.210417539,0,0.297058774,0,0,0,0,0,0,0,0,0,120,20,5,2,1,0.001,0.091528432,0.091528431,0.210417539,0.297058774
1,0.076146586,0,0.076146587,0,0.192534667,0,0.272979166,0,0,0,0,0,0,0,0,0,120,20,6,2,1,0.001,0.076146586,0.076146587,0.192534667,0.272979166
1,0.069499373,0,0.069499373,0,0.182674479,0,0.260672901,0,0,0,0,0,0,0,0,0,120,20,7,2,1,0.001,0.069499373,0.069499373,0.182674479,0.260672901
1,0.064510943,0,0.064510943,0,0.174359793,0,0.25122628,0,0,0,0,0,0,0,0,0,120,20,8,2,1,0.001,0.064510943,0.064510943,0.174359793,0.25122628
1,0.059868343,0,0.059868343,0,0.166245166,0,0.242345107,0,0,0,0,0,0,0,0,0,120,20,9,2,1,0.001,0.059868343,0.059868343,0.166245166,0.242345107
1,0.056122805,0,0.056122805,0,0.160188956,0,0.234822802,0,0,0,0,0,0,0,0,0,120,20,10,2,1,0.001,0.056122805,0.056122805,0.160188956,0.234822802
1,0.05299556,0,0.05299556,0,0.154022382,0,0.228182793,0,0,0,0,0,0,0,0,0,120,20,11,2,1,0.001,0.05299556,0.05299556,0.154022382,0.228182793
1,0.050479197,0,0.050479197,0,0.149143373,0,0.222780209,0,0,0,0,0,0,0,0,0,120,20,12,2,1,0.001,0.050479197,0.050479197,0.149143373,0.222780209
1,0.048287905,0,0.048287905,0,0.144493784,0,0.217822108,0,0,0,0,0,0,0,0,0,120,20,13,2,1,0.001,0.048287905,0.048287905,0.144493784,0.217822108
1,0.046364731,0,0.046364731,0,0.140565245,0,0.213501412,0,0,0,0,0,0,0,0,0,120,20,14,2,1,0.001,0.046364731,0.046364731,0.140565245,0.213501412
1,0.044493389,0,0.044493388,0,0.136756944,0,0.209142528,0,0,0,0,0,0,0,0,0,120,20,15,2,1,0.001,0.044493389,0.044493388,0.136756944,0.209142528
1,0.043468714,0,0.043468714,0,0.134266904,0,0.206774974,0,0,0,0,0,0,0,0,0,120,20,16,2,1,0.001,0.043468714,0.043468714,0.134266904,0.206774974
1,0.041833718,0,0.041833718,0,0.131159723,0,0.202855854,0,0,0,0,0,0,0,0,0,120,20,17,2,1,0.001,0.041833718,0.041833718,0.131159723,0.202855854
1,0.040528448,0,0.040528448,0,0.127822494,0,0.19957023,0,0,0,0,0,0,0,0,0,120,20,18,2,1,0.001,0.040528448,0.040528448,0.127822494,0.19957023
1,0.039475741,0,0.039475741,0,0.126057769,0,0.196899761,0,0,0,0,0,0,0,0,0,120,20,19,2,1,0.001,0.039475741,0.039475741,0.126057769,0.196899761
1,0.039026617,0,0.039026617,0,0.12458742,0,0.19580741,0,0,0,0,0,0,0,0,0,120,20,20,2,1,0.001,0.039026617,0.039026617,0.12458742,0.19580741
1,0.037549148,0,0.037549148,0,0.121702801,0,0.191954038,0,0,0,0,0,0,0,0,0,120,20,21,2,1,0.001,0.037549148,0.037549148,0.121702801,0.191954038
1,0.036840876,0,0.036840875,0,0.11991588,0,0.190035302,0,0,0,0,0,0,0,0,0,120,20,22,2,1,0.001,0.036840876,0.036840875,0.11991588,0.190035302
1,0.036129384,0,0.036129384,0,0.118733755,0,0.18819893,0,0,0,0,0,0,0,0,0,120,20,23,2,1,0.001,0.036129384,0.036129384,0.118733755,0.18819893
1,0.035093239,0,0.035093238,0,0.117029694,0,0.185255604,0,0,0,0,0,0,0,0,0,120,20,24,2,1,0.001,0.035093239,0.035093238,0.117029694,0.185255604
1,0.034328676,0,0.034328676,0,0.115914969,0,0.183398,0,0,0,0,0,0,0,0,0,120,20,25,2,1,0.001,0.034328676,0.034328676,0.115914969,0.183398
1,0.033472994,0,0.033472993,0,0.114117826,0,0.181024219,0,0,0,0,0,0,0,0,0,120,20,26,2,1,0.001,0.033472994,0.033472993,0.114117826,0.181024219
1,0.032968553,0,0.032968553,0,0.11323116,0,0.179501949,0,0,0,0,0,0,0,0,0,120,20,27,2,1,0.001,0.032968553,0.032968553,0.11323116,0.179501949
1,0.031814823,0,0.031814823,0,0.111259083,0,0.176289576,0,0,0,0,0,0,0,0,0,120,20,28,2,1,0.001,0.031814823,0.031814823,0.111259083,0.176289576
1,0.030749947,0,0.030749946,0,0.109585869,0,0.173324219,0,0,0,0,0,0,0,0,0,120,20,29,2,1,0.001,0.030749947,0.030749946,0.109585869,0.173324219
1,0.030334921,0,0.030334921,0,0.108866869,0,0.172043352,0,0,0,0,0,0,0,0,0,120,20,30,2,1,0.001,0.030334921,0.030334921,0.108866869,0.172043352
1,0.02988402,0,0.02988402,0,0.107861824,0,0.170666294,0,0,0,0,0,0,0,0,0,120,20,31,2,1,0.001,0.02988402,0.02988402,0.107861824,0.170666294
1,0.029337336,0,0.029337336,0,0.106812791,0,0.169380277,0,0,0,0,0,0,0,0,0,120,20,32,2,1,0.001,0.029337336,0.029337336,0.106812791,0.169380277
1,0.028790834,0,0.028790834,0,0.105777645,0,0.167571299,0,0,0,0,0,0,0,0,0,120,20,33,2,1,0.001,0.028790834,0.028790834,0.105777645,0.167571299
1,0.02848081,0,0.02848081,0,0.10489272,0,0.166775273,0,0,0,0,0,0,0,0,0,120,20,34,2,1,0.001,0.02848081,0.02848081,0.10489272,0.166775273
1,0.027501834,0,0.027501834,0,0.103323998,0,0.16389414,0,0,0,0,0,0,0,0,0,120,20,35,2,1,0.001,0.027501834,0.027501834,0.103323998,0.16389414
1,0.02732513,0,0.02732513,0,0.102475014,0,0.163175628,0,0,0,0,0,0,0,0,0,120,20,36,2,1,0.001,0.02732513,0.02732513,0.102475014,0.163175628
1,0.027155177,0,0.027155177,0,0.102207741,0,0.162880172,0,0,0,0,0,0,0,0,0,120,20,37,2,1,0.001,0.027155177,0.027155177,0.102207741,0.162880172
1,0.027003696,0,0.027003696,0,0.101664794,0,0.16223169,0,0,0,0,0,0,0,0,0,120,20,38,2,1,0.001,0.027003696,0.027003696,0.101664794,0.16223169
1,0.026518204,0,0.026518204,0,0.100630383,0,0.160835717,0,0,0,0,0,0,0,0,0,120,20,39,2,1,0.001,0.026518204,0.026518204,0.100630383,0.160835717
1,0.026430732,0,0.026430732,0,0.100767445,0,0.160718494,0,0,0,0,0,0,0,0,0,120,20,40,2,1,0.001,0.026430732,0.026430732,0.100767445,0.160718494
1,0.026514514,0,0.026514514,0,0.099991684,0,0.160744198,0,0,0,0,0,0,0,0,0,120,20,41,2,1,0.001,0.026514514,0.026514514,0.099991684,0.160744198
1,0.025924554,0,0.025924554,0,0.09873035,0,0.158925351,0,0,0,0,0,0,0,0,0,120,20,42,2,1,0.001,0.025924554,0.025924554,0.09873035,0.158925351
1,0.025882149,0,0.025882149,0,0.098558058,0,0.158821023,0,0,0,0,0,0,0,0,0,120,20,43,2,1,0.001,0.025882149,0.025882149,0.098558058,0.158821023
1,0.025519894,0,0.025519894,0,0.09790051,0,0.157721634,0,0,0,0,0,0,0,0,0,120,20,44,2,1,0.001,0.025519894,0.025519894,0.09790051,0.157721634
1,0.025061498,0,0.025061497,0,0.096883057,0,0.156353891,0,0,0,0,0,0,0,0,0,120,20,45,2,1,0.001,0.025061498,0.025061497,0.096883057,0.156353891
1,0.024843023,0,0.024843023,0,0.096454411,0,0.155556526,0,0,0,0,0,0,0,0,0,120,20,46,2,1,0.001,0.024843023,0.024843023,0.096454411,0.155556526
1,0.024956172,0,0.024956172,0,0.09628311,0,0.156166162,0,0,0,0,0,0,0,0,0,120,20,47,2,1,0.001,0.024956172,0.024956172,0.09628311,0.156166162
1,0.024788116,0,0.024788115,0,0.096155505,0,0.155544948,0,0,0,0,0,0,0,0,0,120,20,48,2,1,0.001,0.024788116,0.024788115,0.096155505,0.155544948
1,0.024261323,0,0.024261323,0,0.09485062,0,0.153738283,0,0,0,0,0,0,0,0,0,120,20,49,2,1,0.001,0.024261323,0.024261323,0.09485062,0.153738283
1,0.024222131,0,0.024222131,0,0.094949313,0,0.153752521,0,0,0,0,0,0,0,0,0,120,20,50,2,1,0.001,0.024222131,0.024222131,0.094949313,0.153752521
1,0.024222131,0,0.024222131,0,0.094949313,0,0.153752521,0,0,0,0,0,0,0,0,0,120,20,50,2,1,0.001,0.024222131,0.024222131,0.094949313,0.153752521
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,20,0,2,1,5.00E-05,0,0,0,0
