actions,screw_in,allen_in,hammer,hand_screw_in
default_timings_mean,16.375,22.88541667,5.083333333,57.55208333
default_timings_std,6.180139868,6.021849028,2.171178286,42.12388582
user_j,-0.85792287,-0.826850132,-0.052774723,-0.371424265
user_m,0.203946301,0.299257475,0.997922041,-0.163703637
user_l,0.653976569,0.527592658,-0.945147318,0.535127903
task_box,-0.610153397,-0.122816651,-0.191908085,0.757438431
task_chair,0.610153397,0.122816651,0.191908085,-0.757438431
