date,time,screw_in,allen_in,hammer,hand_screw_in
,,0.0,0.0,0.0,0.0
2022-03-08,16:49:53.255220,0.532466173666083,-2.04911642044568,-0.745260868946894,-1.61827428683946
2022-03-08,17:15:17.020724,-0.226693519481609,-0.700520604430238,-0.100710928236067,-1.56298804785847
2022-03-08,17:38:23.423387,0.456550204351314,-1.15005254310205,-0.809715863017977,-1.50770180887748
2022-03-21,11:23:46.877186,0.418592219693929,-1.06014615536769,-0.326303407484856,-1.14834125550103
2022-05-08,17:03:16.087600,3.4552309922847,0.018730497444665,-0.841943360053518,-1.01012565804855
2022-05-08,17:28:52.213400,1.29162586681378,2.53610935400682,1.80071139686087,-1.64591740632996
2022-05-08,17:55:53.835519,1.13979392818424,2.17648380306937,1.63957391168317,-0.733694463143588
2022-05-08,18:17:34.187695,1.74712168270239,2.89573490494428,0.930568976901257,-1.64591740632996
2022-05-15,15:29:23.028827,2.01282757530408,0.0,0.608294006545843,-1.25891373346301
2022-05-15,15:54:15.660996,1.7850796673597753,-1.3298653185707776,2.316351349429536,-1.1759843749915264
2022-05-15,16:18:21.091745,1.32958385147116,-2.318835583648769,1.639573911683167,-0.6507651046720999
2022-05-15,16:46:11.386687,1.4434578054433138,-2.228929195914406,0.06042655694164006,-1.3971293309154953
