action_no,action_id,action_name,default_time,user_type,prev_dependent
0,,bring_part,,,0
1,,screw_in,,,1
2,,screw_in,,,0
3,,bring_part,,,0
4,,screw_in,,,1
5,,screw_in,,,0
6,,screw_in,,,0
7,,bring_part,,,0
8,,screw_in,,,1
9,,screw_in,,,0
10,,screw_in,,,0
11,,bring_part,,,0
12,,screw_in,,,1
13,,screw_in,,,0
14,,screw_in,,,0
15,,screw_in,,,0
16,,take_part,,,1
