action_id,action_name,std_dur_s,user_type
0,screw_in,00:00:15,human
1,screw_out,00:00:15,human
2,allen_in,00:00:15,human
3,allen_out,00:00:15,human
4,bring_side_1,00:00:15,robot
5,bring_side_2,00:00:18,robot
6,bring_side_3,00:00:21,robot
7,bring_side_4,00:00:22,robot
8,take_box,00:00:01,robot
9,null,00:00:00,human
10,stack_red_small_block,00:00:16,robot
11,stack_blue_small_block,00:00:16,robot
12,stack_yellow_small_block,00:00:16,robot
13,stack_green_small_block,00:00:16,robot
14,stack_orange_small_block,00:00:16,robot
15,remove_stack,00:00:25,robot
16,home,00:00:05,robot
17,deliver_box,00:00:00,robot
18,hand_screw_in,00:00:03,human
19,hand_screw_out,00:00:03,human
20,hammer,00:00:01,human
