session_num,tr_loss_ave,tr_loss_std,tr_mse_ave,tr_mse_std,tr_mae_ave,tr_mae_std,tr_rmse_ave,tr_rmse_std,val_loss_ave,val_loss_std,val_mse_ave,val_mse_std,val_mae_ave,val_mae_std,val_rmse_ave,val_rmse_std,fc_units,lstm_units,epochs,fc_depth,lstm_depth,lr,tr_loss_fold_0,tr_mse_fold_0,tr_mae_fold_0,tr_rmse_fold_0
1,0.481080737,0,0.481080739,0,0.476787582,0,0.662275925,0,0,0,0,0,0,0,0,0,120,20,1,2,1,0.001,0.481080737,0.481080739,0.476787582,0.662275925
1,0.270291912,0,0.270291912,0,0.363756873,0,0.491476466,0,0,0,0,0,0,0,0,0,120,20,2,2,1,0.001,0.270291912,0.270291912,0.363756873,0.491476466
1,0.177366467,0,0.177366466,0,0.274619879,0,0.398872629,0,0,0,0,0,0,0,0,0,120,20,3,2,1,0.001,0.177366467,0.177366466,0.274619879,0.398872629
1,0.119606484,0,0.119606487,0,0.238378727,0,0.337325583,0,0,0,0,0,0,0,0,0,120,20,4,2,1,0.001,0.119606484,0.119606487,0.238378727,0.337325583
1,0.094062948,0,0.094062949,0,0.212994229,0,0.301054398,0,0,0,0,0,0,0,0,0,120,20,5,2,1,0.001,0.094062948,0.094062949,0.212994229,0.301054398
1,0.077844342,0,0.077844342,0,0.194628583,0,0.275988373,0,0,0,0,0,0,0,0,0,120,20,6,2,1,0.001,0.077844342,0.077844342,0.194628583,0.275988373
1,0.070964226,0,0.070964226,0,0.184719524,0,0.263391487,0,0,0,0,0,0,0,0,0,120,20,7,2,1,0.001,0.070964226,0.070964226,0.184719524,0.263391487
1,0.065953711,0,0.065953711,0,0.176394234,0,0.254011173,0,0,0,0,0,0,0,0,0,120,20,8,2,1,0.001,0.065953711,0.065953711,0.176394234,0.254011173
1,0.061339225,0,0.061339225,0,0.16826083,0,0.245278357,0,0,0,0,0,0,0,0,0,120,20,9,2,1,0.001,0.061339225,0.061339225,0.16826083,0.245278357
1,0.057524394,0,0.057524393,0,0.162112435,0,0.23770295,0,0,0,0,0,0,0,0,0,120,20,10,2,1,0.001,0.057524394,0.057524393,0.162112435,0.23770295
1,0.05439434,0,0.05439434,0,0.156047328,0,0.231159933,0,0,0,0,0,0,0,0,0,120,20,11,2,1,0.001,0.05439434,0.05439434,0.156047328,0.231159933
1,0.051902665,0,0.051902665,0,0.151271787,0,0.225892988,0,0,0,0,0,0,0,0,0,120,20,12,2,1,0.001,0.051902665,0.051902665,0.151271787,0.225892988
1,0.04967043,0,0.049670429,0,0.146637972,0,0.220923246,0,0,0,0,0,0,0,0,0,120,20,13,2,1,0.001,0.04967043,0.049670429,0.146637972,0.220923246
1,0.047777127,0,0.047777127,0,0.142793357,0,0.21674171,0,0,0,0,0,0,0,0,0,120,20,14,2,1,0.001,0.047777127,0.047777127,0.142793357,0.21674171
1,0.045934447,0,0.045934447,0,0.139104076,0,0.212514903,0,0,0,0,0,0,0,0,0,120,20,15,2,1,0.001,0.045934447,0.045934447,0.139104076,0.212514903
1,0.044942891,0,0.044942891,0,0.136717411,0,0.210266975,0,0,0,0,0,0,0,0,0,120,20,16,2,1,0.001,0.044942891,0.044942891,0.136717411,0.210266975
1,0.043282278,0,0.043282278,0,0.133651146,0,0.206370479,0,0,0,0,0,0,0,0,0,120,20,17,2,1,0.001,0.043282278,0.043282278,0.133651146,0.206370479
1,0.041962792,0,0.041962792,0,0.130286354,0,0.20309829,0,0,0,0,0,0,0,0,0,120,20,18,2,1,0.001,0.041962792,0.041962792,0.130286354,0.20309829
